"City","County","Cases"
"Key Colony Beach","Monroe","1"
"Holmes Beach","Manatee","1"
"Hutchinson Island","St. Lucie","1"
"Missing","Nassau","1"
"Pensacola Beach","Escambia","1"
"Pine Castle","Orange","1"
"Sugarloaf","Monroe","1"
"Yalaha","Lake","1"
"Grand Island","Lake","1"
"Grant-Valkaria","Brevard","1"
"Hillsboro Beach","Broward","1"
"Indian Rock Beach","Pinellas","1"
"Managua","Dade","1"
"Fanning Springs","Gilchrist","1"
"East Coast","St. Lucie","1"
"Cypress Gardens","Polk","1"
"Big Pine Key","Monroe","1"
"Baldwin","Duval","1"
"Balm","Hillsborough","1"
"Missing","Seminole","1"
"Miromar Lakes","Lee","1"
"Missing","Lafayette","1"
"Missing","Manatee","1"
"South Palm Beach","Palm Beach","1"
"Santa Fe","Alachua","1"
"Perdido Key","Escambia","1"
"Pooler","Broward","1"
"Paisley","Lake","1"
"Okeechobee","Martin","1"
"Virginia Gardens","Dade","1"
"Westchase","Hillsborough","1"
"West Delray Beach","Palm Beach","1"
"Unknown Out Of Area","Palm Beach","1"
"Saint Leo","Pasco","1"
"Point Washington","Walton","1"
"Port Saint John","Brevard","1"
"Malabar","Brevard","1"
"Missing","Desoto","1"
"Missing","Monroe","1"
"New Church","Palm Beach","1"
"Missing","Alachua","1"
"Ocean Ridge","Palm Beach","1"
"Pasadena","Pinellas","1"
"Crystal Beach","Pinellas","1"
"Goodland","Collier","1"
"Harmony","Osceola","1"
"Litchfield Park","Unknown","1"
"Lake Butler","Bradford","1"
